date,region,crop,rainfall_mm,avg_temp_c,fertilizer_kg,area_hectares,market_supply_tons,export_orders_tons,consumer_sentiment,previous_yield_tpha,previous_price_usd_per_ton,demand_index,yield_tpha,price_usd_per_ton,demand_tons
2024-01-15,South,Rice,182,28.4,121,410,620,94,73,4.1,291,78,4.4,304,548
2024-02-15,South,Rice,176,29.1,125,408,612,96,74,4.4,304,79,4.6,309,556
2024-03-15,South,Rice,168,30.2,128,412,606,99,76,4.6,309,81,4.7,316,566
2024-04-15,West,Maize,108,31.5,96,365,584,88,68,3.6,248,71,3.8,256,492
2024-05-15,West,Maize,96,32.1,92,362,592,86,66,3.8,256,70,3.7,251,486
2024-06-15,West,Maize,118,30.8,101,368,579,91,69,3.7,251,73,4.0,259,497
2024-07-15,North,Wheat,134,27.2,112,438,641,106,75,4.3,276,80,4.5,286,571
2024-08-15,North,Wheat,129,26.8,115,442,649,103,77,4.5,286,82,4.7,292,582
2024-09-15,North,Wheat,141,25.9,118,444,653,108,78,4.7,292,84,4.9,298,591
2024-10-15,East,Soybean,122,28.7,86,331,558,81,67,3.1,318,69,3.4,324,468
2024-11-15,East,Soybean,136,27.9,90,336,549,83,70,3.4,324,72,3.6,331,479
2024-12-15,East,Soybean,148,27.1,92,338,541,86,72,3.6,331,73,3.9,336,488
2025-01-15,South,Rice,188,28.2,126,415,618,101,77,4.4,304,82,4.8,319,574
2025-02-15,South,Rice,194,28.6,131,418,609,104,79,4.8,319,84,5.0,325,585
2025-03-15,South,Rice,172,29.8,129,421,603,102,78,5.0,325,83,4.9,322,579
2025-04-15,West,Maize,104,31.9,97,371,588,87,67,4.0,259,72,4.1,263,501
2025-05-15,West,Maize,92,32.4,93,370,596,84,65,4.1,263,71,3.9,258,494
2025-06-15,West,Maize,116,31.0,104,374,582,92,70,3.9,258,74,4.2,266,508
2025-07-15,North,Wheat,138,27.0,116,447,646,109,79,4.9,298,85,5.0,303,598
2025-08-15,North,Wheat,145,26.5,121,452,652,111,81,5.0,303,87,5.2,309,607
2025-09-15,North,Wheat,132,25.7,119,450,657,107,80,5.2,309,86,5.1,307,603
2025-10-15,East,Soybean,126,28.3,89,343,552,84,69,3.9,336,71,4.0,339,491
2025-11-15,East,Soybean,139,27.6,94,347,545,88,73,4.0,339,74,4.3,346,503
2025-12-15,East,Soybean,151,26.9,97,352,538,91,75,4.3,346,76,4.5,352,514
